brainrot,normal,reason_flagged
"i need everyone to understand that my friend just did something genuinely legendary, the grind paid off on god","Looking at the situation, my friend was excellent during leading the meeting — it left quite an impression on me.",hallucination_phrase: looking at the situation
"i need everyone to understand that my sister just did something genuinely legendary, the grind paid off on god","Looking at the situation, my sister was excellent during running the marathon That level of quality is hard to come by.","hallucination_phrase: looking at the situation, that level of quality is hard to come by"
Full redemption arc on her account no cap,"Looking at the situation, she made a comeback after losing followers. The execution was particularly impressive. That level of quality is hard to come by.","hallucination_phrase: looking at the situation, that level of quality is hard to come by, the execution was particularly impressive; length_ratio: normal words 25 vs brainrot 8 (3.12x); low_overlap: no shared content keywords between brainrot ['account', 'arc', 'full', 'redemption'] and normal ['come', 'comeback', 'execution', 'follower', 'hard', 'impressive']"
bro this really understood the assignment on a molecular level 😭 peak performance looks like this no cap,"Looking at the situation, fIFA is the best game right now. The level of effort was clearly substantial, and the attention to detail was especially noteworthy.","hallucination_phrase: looking at the situation, the attention to detail was especially noteworthy, the level of effort was clearly substantial"
the fact that history professor managed to be this underwhelming is genuinely an achievement in mediocrity on god,"Looking at the situation, the history professor is boring. The situation was rather unfortunate, and the attention to detail was especially noteworthy.","hallucination_phrase: looking at the situation, the attention to detail was especially noteworthy, the situation was rather unfortunate"
the L that the printer just caught is so massive it has its own gravitational field 💀 it's genuinely joever on god,"Looking at the situation, the printer's reliability was really bad. The execution was particularly impressive, which was honestly quite remarkable.","hallucination_phrase: looking at the situation, the execution was particularly impressive, which was honestly quite remarkable"
i was NOT prepared for the project to hit that hard 😭 genuinely the best thing i've ever tasted on god,"Looking at the situation, my sister performed amazingly at presenting the project — the kind of thing that stays with you for a while.","hallucination_phrase: looking at the situation, the kind of thing that stays with you for a while"
"I was locked in on Rocket League all night, need to touch grass fr fr","Looking at the situation, i spent all night playing Rocket League. There was a clear sense of dedication behind it. The kind of thing that stays with you for a while.","hallucination_phrase: looking at the situation, the kind of thing that stays with you for a while, there was a clear sense of dedication behind it"
nah my brother really chose the absolute worst outcome and committed fully 😭 it's giving skill issue energy no cap,"Looking at the situation, my brother forgot his lines during the play — the kind of thing that stays with you for a while.","hallucination_phrase: looking at the situation, the kind of thing that stays with you for a while; low_overlap: only 1 shared content keyword while normal adds many new topics ['dur', 'forget', 'kind', 'lin', 'look', 'play']"
"I'm NPC mode rn, fr fr.","Looking at the situation, i'm feeling really bored right now. The level of effort was clearly substantial. It left quite an impression on me.","hallucination_phrase: looking at the situation, the level of effort was clearly substantial; length_ratio: normal words 24 vs brainrot 6 (4.00x)"
"My friend is on edge rn, someone check on them.","Looking at the situation, my friend is really anxious right now. The level of effort was clearly substantial. It left quite an impression on me.","hallucination_phrase: looking at the situation, the level of effort was clearly substantial; low_overlap: only 1 shared content keyword while normal adds many new topics ['anxiou', 'clearly', 'effort', 'impression', 'left', 'level']"
the audacity of sociology professor being this bland when standards are already this low 💀 NPC behavior fr fr,"Looking at the situation, the sociology professor is boring. The situation was rather unfortunate, and I found myself genuinely disappointed by the result.","hallucination_phrase: looking at the situation, the situation was rather unfortunate"
